Consumption,Wind,Hydroelectric,Solar,Hour,Weekday
6352,79,1383,0,0,Tuesday
6116,96,1112,0,1,Tuesday
5873,142,1030,0,2,Tuesday
5682,191,972,0,3,Tuesday
5557,159,960,0,4,Tuesday
5525,91,958,0,5,Tuesday
5513,98,938,0,6,Tuesday
5524,93,1187,0,7,Tuesday
5510,51,1325,8,8,Tuesday
5617,15,1398,61,9,Tuesday
5643,-5,1410,126,10,Tuesday
5737,-17,1400,182,11,Tuesday
5776,-10,1416,206,12,Tuesday
5744,15,1308,202,13,Tuesday
5710,100,1245,160,14,Tuesday
5813,193,1348,85,15,Tuesday
6009,304,1293,9,16,Tuesday
6613,510,1453,0,17,Tuesday
6718,754,1485,0,18,Tuesday
6721,916,1549,0,19,Tuesday
6632,1003,1588,0,20,Tuesday
6441,1118,1518,0,21,Tuesday
6222,1175,1389,0,22,Tuesday
5936,1175,1196,0,23,Tuesday
5647,1452,949,0,0,Wednesday
5500,1668,662,0,1,Wednesday
5385,1613,676,0,2,Wednesday
5327,1823,534,0,3,Wednesday
5362,1739,418,0,4,Wednesday
5411,1592,499,0,5,Wednesday
5510,1478,565,0,6,Wednesday
5784,1357,925,0,7,Wednesday
5999,1350,1181,7,8,Wednesday
6322,1396,1339,66,9,Wednesday
6576,1499,1342,163,10,Wednesday
6619,1426,1470,227,11,Wednesday
6595,1450,1297,244,12,Wednesday
6537,1330,1324,273,13,Wednesday
6438,947,1499,191,14,Wednesday
6523,664,1527,94,15,Wednesday
6800,594,1561,15,16,Wednesday
7301,567,1709,0,17,Wednesday
7432,454,1996,0,18,Wednesday
7388,385,1941,0,19,Wednesday
7344,317,1887,0,20,Wednesday
7054,382,1808,0,21,Wednesday
6610,476,1687,0,22,Wednesday
6265,603,1269,0,23,Wednesday
5918,730,1169,0,0,Thursday
5693,908,956,0,1,Thursday
5544,1118,885,0,2,Thursday
5539,1150,900,0,3,Thursday
5684,981,956,0,4,Thursday
5830,812,1013,0,5,Thursday
6144,769,916,0,6,Thursday
6725,635,1244,0,7,Thursday
7446,664,1599,6,8,Thursday
7780,581,1543,43,9,Thursday
7987,293,1803,103,10,Thursday
7994,188,1810,159,11,Thursday
7966,179,1853,168,12,Thursday
8025,187,1922,153,13,Thursday
7892,331,1801,114,14,Thursday
7873,470,1913,49,15,Thursday
8026,593,1909,5,16,Thursday
8474,672,2149,0,17,Thursday
8514,1351,1728,0,18,Thursday
8470,1790,1588,0,19,Thursday
8214,2153,1546,0,20,Thursday
7932,2293,1626,0,21,Thursday
7454,2379,1548,0,22,Thursday
6974,2516,1076,0,23,Thursday
6610,2620,982,0,0,Friday
6406,2637,1000,0,1,Friday
6372,2575,1055,0,2,Friday
6237,2607,940,0,3,Friday
6398,2672,1000,0,4,Friday
6530,2715,1042,0,5,Friday
6869,2704,1137,0,6,Friday
7403,2637,1244,0,7,Friday
7925,2508,1464,14,8,Friday
8258,2436,1463,73,9,Friday
8383,2422,1480,127,10,Friday
8291,2469,1419,186,11,Friday
8231,2533,1332,215,12,Friday
8229,2514,1302,199,13,Friday
8072,2257,1390,151,14,Friday
8082,1839,1433,100,15,Friday
8099,1515,1354,26,16,Friday
8664,994,1850,1,17,Friday
8729,629,1851,0,18,Friday
8619,395,1887,0,19,Friday
8343,344,1817,0,20,Friday
8010,237,1902,0,21,Friday
7417,143,1735,0,22,Friday
7065,108,1805,0,23,Friday
6720,87,1586,0,0,Saturday
6496,52,1138,0,1,Saturday
6373,58,1082,0,2,Saturday
6317,119,1028,0,3,Saturday
6398,153,1136,0,4,Saturday
6414,128,1152,0,5,Saturday
6656,137,1189,0,6,Saturday
6977,206,1134,0,7,Saturday
7362,309,1146,27,8,Saturday
7605,324,1101,149,9,Saturday
7766,316,1204,296,10,Saturday
7763,292,1277,407,11,Saturday
7778,287,1268,447,12,Saturday
7649,345,1164,416,13,Saturday
7511,569,996,325,14,Saturday
7567,601,1149,150,15,Saturday
7904,581,1258,9,16,Saturday
8408,821,1461,0,17,Saturday
8525,1377,1319,0,18,Saturday
8482,1591,1535,0,19,Saturday
8226,1666,1429,0,20,Saturday
7893,1632,1246,0,21,Saturday
7341,1650,1083,0,22,Saturday
6983,1807,1008,0,23,Saturday
6665,1864,964,0,0,Sunday
6441,1652,1011,0,1,Sunday
6297,1485,1082,0,2,Sunday
6168,1427,962,0,3,Sunday
6260,1358,910,0,4,Sunday
6244,972,1122,0,5,Sunday
6341,627,1207,0,6,Sunday
6649,504,1100,0,7,Sunday
6812,390,1149,1,8,Sunday
7087,327,1185,24,9,Sunday
7161,287,1262,71,10,Sunday
7074,385,1194,114,11,Sunday
7129,548,1160,132,12,Sunday
7211,770,1158,113,13,Sunday
6997,1109,984,75,14,Sunday
7095,1646,980,34,15,Sunday
7307,2093,1003,3,16,Sunday
7851,2368,833,0,17,Sunday
7992,2321,992,0,18,Sunday
7955,2337,1071,0,19,Sunday
7810,2263,1074,0,20,Sunday
7593,2241,1204,0,21,Sunday
7202,2208,1139,0,22,Sunday
6800,2207,985,0,23,Sunday
6512,2159,974,0,0,Monday
6270,2222,615,0,1,Monday
6172,2190,663,0,2,Monday
6228,2191,730,0,3,Monday
6280,2218,746,0,4,Monday
6588,2187,819,0,5,Monday
7054,2220,735,0,6,Monday
7723,2245,950,0,7,Monday
8410,2207,1118,2,8,Monday
8721,2283,1280,40,9,Monday
8743,2359,1240,102,10,Monday
8646,2449,1112,178,11,Monday
8583,2368,1148,213,12,Monday
8686,2337,1177,215,13,Monday
8385,2305,1147,194,14,Monday
8410,2367,1137,119,15,Monday
